,ball_control,Dribbling,Marking,Slide_Tackle,Stand_Tackle,Aggression,Reactions,Att_Position,Interceptions,Vision,Short_Pass,Long_Pass,Acceleration,Stamina,Strength,Balance,Sprint_Speed,Agility,Jumping,Heading,Shot_Power,Finishing,Long_Shots,Curve,FK_Acc,Penalties,Volleys,GK_Positioning,GK_Diving,GK_Handling,GK_Kicking,GK_Reflexes,Height,Weight,Age,1Quantity,2Quantity,Winner
32,0.8,0.8,-0.8,-0.3,-0.4,0.4,0.5,0.9,-0.2,0.6,0.8,0.0,0.6,0.8,0.5,0.2,0.7,0.1,0.4,0.9,0.7,1.1,0.5,0.1,0.3,0.9,0.5,-0.5,-0.7,-0.6,-0.5,-0.4,0.1,0.4,0.9,9.0,16.0,1.0
151,-0.1,-0.3,0.5,1.0,0.9,0.4,0.2,-1.1,0.8,-1.1,0.0,-0.1,0.0,0.3,0.4,-0.7,0.1,-0.3,0.8,0.8,0.1,-0.6,0.3,-0.7,-0.2,-0.4,-0.4,-0.4,-0.8,-0.7,-0.8,-0.6,0.2,0.3,0.1,8.0,17.0,0.0
166,0.1,0.5,-0.9,-1.2,-1.3,-1.5,-0.1,0.6,-1.2,-0.0,-0.6,-0.4,0.3,-0.6,-1.1,0.1,0.0,-0.2,-0.9,-0.8,0.0,0.8,0.1,0.3,0.8,0.6,1.0,-0.5,-0.2,-0.1,0.6,-0.0,0.1,0.4,0.1,3.0,8.0,0.0
262,0.2,0.0,0.4,0.2,0.5,0.5,0.8,0.2,0.4,-0.0,0.3,0.7,-0.2,0.1,0.6,0.1,-0.5,-0.3,0.0,0.7,0.2,0.1,0.1,0.2,0.3,0.2,0.4,1.1,0.6,0.1,-0.2,0.1,0.2,0.4,0.8,8.0,14.0,0.0
241,-0.7,-0.1,0.7,0.2,0.4,0.4,-0.6,0.2,0.3,0.3,-0.1,-0.3,0.9,0.1,-0.9,0.9,1.1,0.9,-0.3,-0.7,-0.8,-0.4,-0.7,0.5,0.3,-0.1,-0.0,-0.2,-0.0,0.1,0.1,0.2,-0.0,-0.3,-0.8,5.0,8.0,1.0
180,0.7,0.3,0.5,0.5,0.6,0.4,0.5,0.5,0.6,0.6,0.5,0.7,0.2,0.6,0.2,0.4,0.0,0.6,-0.3,-0.0,0.8,0.2,0.1,0.8,0.7,0.6,0.6,0.3,0.1,0.2,-0.0,0.3,0.1,0.1,0.5,11.0,21.0,0.0
9,0.9,0.6,0.5,1.0,1.0,1.1,0.7,0.4,1.2,0.7,1.1,1.3,0.7,0.8,0.9,0.4,0.6,0.9,0.4,1.1,0.6,0.3,0.5,0.4,0.8,0.5,0.6,0.0,-0.1,0.1,0.2,0.1,0.1,0.1,0.8,9.0,14.0,1.0
213,1.6,1.2,0.8,0.3,0.7,0.8,1.1,1.0,-0.2,1.9,1.8,1.9,0.9,0.5,1.3,0.2,0.8,0.7,0.9,2.0,1.8,2.2,2.3,1.7,2.6,2.9,2.3,-1.7,-1.6,-1.9,-2.5,-1.7,-0.0,0.0,2.5,3.0,7.0,1.0
22,-0.2,-0.2,-3.7,0.6,0.7,0.2,0.0,-0.4,0.8,-0.1,0.0,0.3,-0.3,-0.1,0.1,-0.1,-0.4,-0.4,-0.1,0.0,-0.1,-0.5,-0.3,-0.4,-0.3,-0.4,-0.4,0.5,0.5,0.5,0.6,0.4,0.1,0.0,0.4,11.0,14.0,1.0
181,0.8,0.6,0.3,0.4,0.4,0.6,0.6,0.8,0.4,0.2,0.7,0.8,0.2,0.4,0.1,0.5,0.3,0.2,1.0,1.0,0.7,0.7,0.4,0.8,0.7,0.8,0.5,-0.3,-0.6,-0.7,-0.5,-0.6,0.1,-0.0,0.3,10.0,18.0,1.0
148,0.4,0.4,0.2,-0.8,-0.8,-0.8,0.5,0.7,-0.6,0.3,-0.0,-0.4,0.5,0.3,-0.3,1.0,0.8,0.8,-0.0,0.2,0.4,0.7,0.3,1.4,0.5,0.9,0.9,0.1,0.2,0.1,0.2,0.1,-0.0,-0.2,0.2,7.0,15.0,1.0
69,-0.2,-0.1,0.4,-0.4,-0.4,0.2,0.0,-0.1,-0.4,-0.2,-0.5,-0.4,0.3,-0.1,-0.1,0.0,0.2,0.2,0.2,-0.3,0.4,0.2,0.1,-0.4,-0.0,0.3,0.2,0.4,0.1,0.1,0.0,0.3,0.0,0.2,0.2,9.0,19.0,1.0
221,-0.1,-0.2,-2.9,0.5,0.7,0.6,0.0,-0.7,0.8,-0.3,0.0,0.0,0.2,0.3,0.3,0.1,0.5,-0.2,-0.1,0.0,-0.4,-0.5,-0.6,-0.5,-1.0,-1.0,-0.3,-0.1,0.1,0.1,0.1,-0.3,0.2,0.1,-0.7,7.0,18.0,0.0
55,-0.0,-0.3,-0.1,0.0,0.0,0.1,0.4,-0.7,-0.0,0.6,0.2,0.3,-0.8,-0.7,0.4,0.1,-1.0,-0.6,-0.6,-1.0,-0.2,-0.4,-0.4,0.3,0.2,0.3,0.0,1.0,1.1,0.8,1.0,0.7,0.2,0.3,0.4,4.0,6.0,2.0
30,0.0,0.0,0.2,0.1,0.1,0.0,0.1,-0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,6.0,12.0,0.0
36,0.0,-0.1,-2.3,-0.7,-0.5,-0.6,0.0,0.0,-0.9,-0.3,-0.4,-0.4,-0.3,-0.5,-0.1,-0.2,-0.2,0.1,-0.5,0.1,-0.3,-0.2,-0.4,0.2,-0.3,-0.1,-0.0,0.1,0.3,-0.1,-0.1,0.1,0.1,0.0,0.1,9.0,19.0,0.0
6,1.4,1.5,0.2,-0.4,-0.7,-1.1,-1.5,1.8,-0.9,0.4,0.5,0.7,1.6,0.3,-1.5,1.6,1.0,1.9,-1.7,0.2,-0.6,1.6,1.5,0.9,0.9,0.8,1.3,-3.5,-4.1,-4.0,-3.5,-4.2,-0.3,-0.9,-1.0,4.0,12.0,1.0
146,1.1,0.9,-1.9,0.6,0.4,0.9,0.5,0.9,0.5,0.8,1.0,1.0,0.9,0.8,-0.1,0.9,0.8,0.7,0.5,0.9,0.9,0.9,1.0,1.2,0.9,0.9,1.2,-1.1,-1.1,-1.1,-1.1,-1.2,-0.1,-0.3,0.5,10.0,16.0,1.0
18,-0.3,-0.2,0.2,-0.3,-0.3,0.0,-0.5,-0.2,-0.5,-0.3,-0.5,-0.6,0.0,-0.0,0.0,-0.3,0.0,-0.0,-0.2,-0.2,-0.2,-0.1,-0.0,-0.2,-0.2,-0.4,-0.1,-0.2,-0.1,-0.3,-0.2,-0.5,0.1,0.2,-0.3,11.0,19.0,2.0
179,0.4,0.4,0.2,0.5,0.6,0.5,0.3,0.4,0.4,0.7,0.7,0.7,0.5,1.1,-0.4,0.6,0.5,0.5,-0.3,0.2,0.4,0.4,0.3,0.4,0.6,0.1,0.5,-0.1,0.3,0.0,0.2,0.2,-0.1,-0.3,-0.6,9.0,20.0,0.0
86,0.2,0.1,0.2,0.0,0.3,0.0,0.3,-0.3,0.0,0.3,0.7,0.4,0.1,-0.0,0.0,0.2,-0.0,0.3,-0.4,-1.0,0.0,-0.3,-0.4,-0.5,0.2,-0.2,-0.4,0.1,0.4,0.6,0.4,0.4,0.0,0.2,0.4,9.0,20.0,1.0
264,0.4,0.4,0.2,0.2,0.1,0.1,0.4,0.6,0.2,0.7,0.4,0.7,0.5,0.2,-0.2,0.4,0.3,0.6,0.5,0.2,0.5,0.3,0.5,0.4,0.6,0.6,0.2,-0.1,-0.2,-0.0,-0.2,-0.3,-0.0,0.0,0.6,10.0,18.0,1.0
223,2.6,2.9,-3.5,-1.3,-1.1,0.3,1.9,3.1,-0.9,2.9,2.0,1.5,2.0,1.1,-0.2,1.2,2.5,2.2,1.0,1.5,2.4,3.5,3.2,2.1,2.5,3.1,2.8,-1.2,-0.2,-0.6,-0.5,-0.7,-0.1,-0.7,-0.1,3.0,10.0,1.0
70,1.5,0.9,0.2,0.9,1.1,1.6,0.0,1.2,1.3,0.7,1.3,1.1,0.5,1.0,0.7,-0.2,0.8,0.4,-0.1,1.6,1.0,1.1,1.4,1.2,1.1,1.5,1.2,-2.2,-2.6,-2.5,-2.3,-2.8,0.3,0.3,0.0,10.0,21.0,2.0
243,0.1,0.3,-0.2,0.3,0.3,0.1,-0.2,-0.1,0.1,0.1,0.1,0.2,0.3,-0.3,-0.2,-0.0,0.2,0.3,-0.1,-0.1,0.0,-0.3,-0.6,0.2,-0.3,0.2,-0.3,0.2,-0.1,0.2,0.0,-0.1,0.0,-0.0,0.3,9.0,18.0,0.0
98,-0.3,-0.2,0.4,0.5,0.2,1.3,-0.1,-0.6,0.0,-0.2,0.1,0.2,0.1,-0.7,-0.1,0.8,0.2,0.3,0.6,-0.3,-0.6,-0.2,-0.5,-0.1,0.1,0.1,-0.7,0.1,-0.5,-0.3,0.4,0.2,-0.0,-0.1,0.1,4.0,7.0,0.0
116,-0.0,0.1,-0.4,-0.4,-0.7,-0.6,-0.0,0.2,-0.2,0.1,-0.1,0.7,-0.1,-0.3,-0.3,0.5,-0.1,-0.1,-0.2,-0.5,0.7,0.5,0.5,0.3,0.4,-0.0,-0.2,0.1,-0.2,0.2,-0.0,-0.1,0.0,-0.2,-0.9,10.0,20.0,1.0
130,-0.1,0.0,0.1,-0.0,0.2,-0.1,0.2,-0.1,0.1,0.2,0.1,0.0,0.0,-0.1,0.1,-0.5,0.2,-0.3,0.1,-0.1,-0.3,-0.1,-0.3,-0.1,0.0,-0.1,-0.2,0.5,0.7,0.2,0.4,0.5,0.2,0.2,-0.1,10.0,15.0,1.0
28,0.6,0.7,0.2,-0.2,-0.1,-0.0,0.3,0.5,-0.1,0.2,0.5,0.4,0.1,0.4,-0.2,0.7,-0.2,0.9,-0.3,-0.8,0.2,0.4,0.5,0.6,0.2,0.5,0.4,-0.0,-0.1,-0.2,-0.0,-0.3,0.1,-0.1,-0.2,11.0,21.0,1.0
185,-0.4,-0.2,-0.3,-1.1,-1.0,-1.1,-0.4,-0.0,-1.3,-0.3,-0.9,-0.9,-0.2,-0.7,-0.9,-0.1,-0.2,-0.3,-0.0,-0.5,0.3,0.3,0.5,-0.0,0.3,0.1,0.3,0.7,0.6,0.6,0.9,0.8,0.0,-0.1,0.5,10.0,19.0,0.0
25,-0.0,-0.1,0.2,0.4,0.4,-0.0,0.0,-0.1,0.5,-0.1,0.0,0.1,-0.0,0.1,0.1,0.1,0.0,-0.0,-0.1,-0.0,-0.1,-0.2,-0.1,-0.0,-0.1,-0.1,-0.2,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.1,10.0,11.0,1.0
161,-0.6,-0.8,1.1,0.2,0.1,-0.6,0.0,-0.8,-0.1,-0.5,-0.7,-0.9,-0.4,-0.2,-0.4,0.2,-0.5,-0.1,0.7,-0.7,-1.0,-0.9,-1.2,-1.1,-1.1,-0.9,-1.0,1.3,1.2,1.5,1.5,1.5,0.0,0.1,-0.2,11.0,20.0,2.0
175,-0.0,0.1,0.2,-0.2,-0.1,-0.2,-0.2,0.3,-0.2,0.1,0.0,0.0,-0.2,-0.0,0.3,-0.3,-0.2,-0.3,-0.6,-0.2,-0.0,-0.2,0.2,0.2,0.4,-0.2,-0.4,-0.0,0.0,-0.2,0.1,-0.1,0.1,0.3,0.1,11.0,22.0,1.0
186,0.6,0.7,-0.2,0.5,0.6,0.5,0.3,0.4,0.4,0.8,0.6,0.7,0.9,0.5,-0.1,0.6,0.9,1.0,0.9,1.0,0.4,0.7,0.6,0.6,0.7,0.3,0.7,-0.9,-1.0,-0.8,-0.7,-1.3,0.2,0.3,1.1,8.0,16.0,1.0
113,-0.0,0.0,1.3,0.3,0.3,-0.2,-0.1,-0.1,0.3,0.1,0.2,0.8,0.0,0.2,-0.2,0.0,-0.1,0.0,-0.8,-1.3,-0.2,-0.5,-0.1,-0.1,0.0,-0.4,-0.3,0.1,0.3,-0.0,0.2,0.3,0.0,-0.2,-1.6,10.0,20.0,0.0
115,0.8,0.5,0.6,0.9,1.2,1.0,0.1,0.3,1.2,0.4,0.9,0.5,-0.0,0.1,0.4,0.2,-0.1,0.2,0.0,0.8,-0.1,0.1,0.0,0.6,0.3,0.3,0.2,-1.3,-1.5,-1.3,-1.5,-1.2,0.1,0.3,1.2,9.0,20.0,2.0
31,-0.2,-0.0,0.1,0.0,0.1,-0.3,0.1,0.1,-0.2,0.3,-0.2,-0.3,-0.2,0.1,-0.4,0.5,-0.4,-0.0,-0.3,-0.3,0.6,0.0,0.0,0.3,-0.1,0.3,-0.3,1.2,1.0,1.1,1.3,1.5,0.0,0.2,-0.1,8.0,16.0,1.0
64,-0.8,-0.7,0.2,0.3,0.2,0.6,0.1,-1.3,1.1,-1.5,-1.3,-0.7,-0.5,-0.5,0.1,-0.5,-0.7,-0.9,-0.3,-1.0,-1.7,-1.2,-1.7,-1.6,-0.8,-0.9,-1.2,-0.2,-0.4,0.9,1.3,0.9,0.3,0.3,0.1,7.0,14.0,2.0
71,-0.5,-0.4,0.2,-0.8,-0.8,-0.7,-0.1,-0.1,-0.9,-0.2,-0.2,-0.3,-0.2,-0.3,-0.3,0.1,-0.1,-0.2,-0.0,-0.4,-0.6,-0.2,-0.7,0.0,-0.7,-1.0,-0.5,0.7,1.0,1.2,0.9,1.1,0.0,-0.0,-0.2,10.0,21.0,1.0
152,0.6,0.8,0.2,-1.0,-1.1,-0.9,0.7,0.9,-0.4,1.2,0.3,0.2,0.5,0.7,-0.3,0.5,0.4,0.4,0.4,-0.1,1.4,2.0,1.9,0.3,1.1,1.1,1.5,-0.3,0.3,0.4,0.7,0.1,0.0,-0.1,-0.6,3.0,8.0,1.0
158,-0.9,-0.7,0.5,-0.6,-0.7,-0.3,0.1,-0.7,-0.7,-1.1,-1.1,-1.2,0.1,-0.5,0.2,-0.8,0.2,-0.2,0.4,-0.3,-0.8,-0.8,-1.0,-1.2,-1.0,-0.5,-1.5,1.0,1.5,1.0,0.9,1.3,0.1,0.0,-0.7,9.0,18.0,2.0
10,0.0,-0.5,1.1,0.8,0.8,1.1,0.4,-0.6,0.7,-0.2,-0.0,-0.6,-0.3,-0.2,0.4,-0.1,-0.3,-0.5,0.7,0.4,-0.4,-0.4,-0.4,-0.4,-0.5,-0.1,-0.4,1.0,0.6,1.0,0.6,0.9,0.2,0.2,1.1,8.0,12.0,2.0
145,-0.4,-0.5,0.2,0.5,0.4,-0.5,0.1,-0.5,0.1,-0.4,-0.5,0.3,-0.2,0.0,0.0,-0.0,-0.2,-0.4,0.3,-0.6,-0.5,-0.8,-0.6,-0.7,-0.8,-0.8,-1.1,1.0,1.1,0.6,0.9,0.9,0.1,-0.0,-0.6,9.0,18.0,0.0
26,0.1,-0.1,0.3,0.4,0.4,0.5,0.6,-0.0,0.4,0.1,0.1,0.2,-0.1,-0.2,0.7,0.2,0.1,-0.0,0.6,0.7,0.6,0.4,0.1,0.2,0.3,0.4,0.4,1.2,0.9,1.0,0.6,0.9,0.1,0.1,0.5,9.0,13.0,0.0
94,0.7,0.5,-0.5,0.4,0.8,0.8,0.4,0.5,0.7,0.2,0.7,0.7,0.5,1.2,0.4,-0.1,0.4,0.2,-0.2,0.7,-0.2,0.6,0.4,0.2,0.0,0.4,0.1,-0.8,-0.5,-1.0,-1.1,-0.9,0.0,-0.0,0.1,7.0,17.0,1.0
139,0.8,0.1,1.7,1.1,1.2,0.5,0.7,0.2,1.6,0.5,0.8,0.9,0.1,0.3,-0.3,0.1,-0.1,0.1,0.2,1.0,0.1,0.0,-0.0,0.5,0.4,0.7,0.5,-0.1,-0.1,-0.2,-0.3,-0.3,-0.0,-0.0,0.4,8.0,15.0,1.0
156,-1.0,-1.2,-0.1,-1.0,-1.0,-0.1,-0.0,-1.3,-1.0,-0.7,-0.7,-0.9,-0.5,-0.5,0.5,-1.1,-0.8,-0.9,0.4,-0.5,-0.2,-1.3,-1.2,-1.3,-1.4,-1.4,-0.9,1.9,1.7,2.7,2.7,2.7,0.2,0.4,0.4,9.0,18.0,2.0
252,-0.8,-0.6,0.5,-0.4,-0.6,-0.6,-0.1,-0.8,-0.5,-0.3,-1.1,-0.8,-0.6,-0.7,0.5,-0.2,-0.8,-0.7,-0.5,-1.2,-0.1,-0.6,-0.4,-0.2,-0.2,-0.5,-0.5,1.0,1.2,1.4,1.3,1.4,0.2,0.2,-0.0,10.0,19.0,0.0
239,-0.6,-0.3,-0.2,-0.7,-1.3,0.6,-1.1,-0.7,-1.3,-1.5,-0.9,-1.3,0.0,-1.1,0.3,1.3,-0.2,0.4,-0.8,-0.5,0.0,-0.2,0.1,-1.2,-0.7,0.4,-0.1,-0.1,-0.3,-0.1,0.9,0.4,-0.0,-0.2,0.1,3.0,7.0,2.0
62,-1.1,-0.9,0.8,-1.5,-1.5,-0.9,-1.0,-1.1,-1.3,-0.8,-0.7,-1.0,-0.9,-0.8,0.3,-1.4,-1.0,-2.1,0.6,-0.2,-0.5,-0.5,-1.0,-1.6,-1.2,-0.7,-0.8,0.4,0.3,1.2,1.0,1.1,0.3,0.3,-0.2,6.0,17.0,2.0
193,0.6,0.7,0.5,0.6,0.3,0.2,-0.2,1.0,0.7,0.6,0.4,0.6,0.2,0.1,0.1,0.0,0.2,0.4,-0.5,0.1,-0.1,0.3,0.2,0.9,0.3,-0.7,0.2,-1.1,-1.3,-1.5,-1.1,-1.7,0.2,0.3,-0.1,7.0,13.0,2.0
246,0.8,0.7,0.5,-0.4,-0.4,0.5,-0.1,0.5,-0.2,0.0,0.6,-0.1,0.6,0.4,-0.1,0.2,0.3,0.6,-0.0,0.4,1.1,0.7,1.1,0.3,0.7,0.5,0.1,-0.2,-0.4,-0.5,-0.2,-0.3,-0.1,-0.3,0.0,6.0,11.0,1.0
261,-1.1,-1.2,-0.5,-1.8,-1.7,-1.7,-0.9,-0.7,-1.7,-0.6,-1.3,-1.8,-0.7,-1.2,0.2,-0.9,-0.8,-0.9,-1.0,-1.5,-0.4,-0.1,-0.8,-1.0,-0.7,-0.6,-0.2,1.4,1.2,1.0,1.3,1.7,0.3,0.5,-0.1,4.0,8.0,0.0
37,0.6,0.5,0.7,0.4,0.5,0.6,0.6,0.5,0.5,0.3,0.7,0.9,0.7,0.7,0.6,0.0,0.8,0.4,0.4,0.9,0.2,0.4,0.2,0.5,0.9,0.2,0.6,-0.7,-0.6,-0.9,-0.8,-1.0,0.2,0.2,-0.1,9.0,19.0,1.0
105,-1.6,-2.1,1.1,1.4,1.3,1.7,-0.3,-3.0,1.7,-1.9,-1.1,-0.6,-1.7,-0.5,2.7,-0.6,-0.5,-1.6,1.4,0.1,-1.3,-3.4,-3.4,-2.3,-1.5,-2.5,-2.6,-1.0,0.7,-0.3,0.1,-0.1,0.3,0.4,0.1,2.0,7.0,0.0
97,2.3,1.6,-0.8,3.5,3.5,3.8,0.6,1.4,3.4,1.1,1.8,1.9,0.8,1.7,1.4,1.0,1.1,1.3,1.4,3.7,1.8,1.2,1.9,2.3,1.8,0.9,1.2,-3.3,-3.5,-3.1,-3.2,-3.3,-0.1,-0.1,1.5,3.0,6.0,0.0
120,-0.9,-0.7,0.7,-0.9,-0.7,0.2,-0.3,-0.7,-0.9,-0.3,-1.3,-0.4,-0.8,-1.3,0.8,0.3,-0.5,-0.7,0.6,-1.2,-0.1,-0.8,-0.6,-1.1,-0.6,-0.7,-0.3,1.4,1.8,1.2,0.7,1.3,0.1,0.7,0.2,7.0,17.0,1.0
182,0.1,0.4,-0.1,-0.8,-0.8,-0.5,-0.6,-0.4,-1.0,0.1,-0.5,-0.9,0.0,-0.3,-0.5,0.2,0.3,0.3,0.1,-0.1,0.2,0.1,0.3,0.1,-0.0,-0.1,0.2,0.0,0.3,0.4,-0.1,0.6,0.1,-0.1,-0.3,6.0,13.0,1.0
225,-0.4,-0.3,1.0,0.5,0.3,-0.5,-0.8,-0.5,0.4,-0.1,-0.4,-0.1,-0.5,-0.1,0.2,-0.1,-0.6,-0.3,-0.4,-0.6,-0.2,-0.4,0.6,0.7,0.9,0.0,-0.1,-0.3,-0.5,-0.5,-0.7,-0.4,0.1,0.4,0.1,9.0,17.0,0.0
236,0.5,0.3,-2.0,-0.0,0.0,0.1,0.1,-0.1,-0.1,0.2,0.1,0.2,0.5,0.1,-0.3,-0.6,0.5,-0.0,-0.5,0.5,-0.1,0.1,0.4,0.4,0.6,0.3,0.3,-0.5,-0.5,-0.5,-0.6,-0.6,0.0,-0.2,-0.5,9.0,14.0,2.0
110,0.3,0.3,0.4,0.4,0.3,-0.0,0.1,0.3,0.4,-0.0,0.6,0.9,0.3,0.5,0.7,0.3,0.2,0.3,0.5,0.4,0.4,0.1,0.1,0.2,0.1,0.2,0.2,-0.6,-0.8,-0.8,-0.6,-0.5,0.0,0.2,0.1,11.0,21.0,2.0
92,0.2,0.5,0.2,0.3,0.1,-0.1,0.1,0.6,0.2,0.0,0.3,0.2,0.5,0.8,0.0,0.4,0.3,0.4,0.2,0.7,-0.3,0.1,-0.1,0.2,-0.0,-0.3,-0.2,-0.2,-0.4,-0.3,0.2,0.0,-0.0,-0.2,-0.2,10.0,19.0,0.0
5,0.0,0.0,0.2,0.1,0.1,0.0,0.1,-0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.0,3.0,1.0
242,0.9,0.7,0.2,0.4,0.3,-0.2,-0.1,0.5,-0.1,0.5,0.9,1.2,0.2,0.2,-0.4,0.5,-0.4,0.3,-0.4,-0.6,0.5,0.6,0.5,0.6,0.9,0.3,0.1,-0.7,-0.8,-0.5,-0.9,-0.6,0.0,-0.4,-0.0,6.0,13.0,0.0
40,0.2,0.2,-3.3,-0.1,-0.3,0.0,0.4,0.4,-0.4,0.2,0.0,0.1,0.6,0.5,0.6,0.0,0.6,0.1,0.5,-0.1,0.7,0.3,0.2,0.3,0.7,0.3,0.4,0.9,0.9,0.8,0.7,0.8,0.1,0.1,-0.1,10.0,20.0,1.0
240,0.9,0.5,1.2,1.1,0.8,2.0,1.5,-0.7,1.1,1.3,0.8,1.4,0.6,1.4,2.1,-1.2,0.3,0.0,0.4,1.7,1.5,0.9,1.3,1.2,1.8,1.0,1.3,0.2,-0.1,0.1,0.5,0.3,0.2,0.7,1.7,4.0,9.0,0.0
33,1.6,0.4,1.4,1.0,0.9,1.4,1.5,0.7,1.2,1.1,1.4,1.5,-0.0,0.5,0.5,0.4,0.2,-0.1,0.9,1.4,1.1,0.5,1.4,1.3,1.1,1.4,1.3,-0.6,-0.8,-1.0,-0.7,-0.5,0.1,0.3,-0.0,8.0,19.0,2.0
144,0.1,0.2,1.0,-0.5,-0.5,-0.8,0.3,0.5,-0.6,0.5,0.2,-0.0,0.5,-0.3,-0.3,0.4,0.5,0.2,-0.3,-0.1,0.8,0.4,0.4,0.3,0.5,0.4,0.3,0.4,0.5,0.1,0.1,0.5,-0.1,-0.3,-0.8,9.0,18.0,0.0
43,0.4,0.2,1.0,-0.2,-0.4,-0.0,0.3,0.2,-0.3,0.1,0.2,0.4,0.6,0.2,0.1,0.1,0.6,0.4,0.3,0.3,0.3,0.4,0.1,0.3,0.8,0.6,0.3,-0.1,0.5,-0.5,-0.5,-0.2,-0.0,-0.3,0.4,7.0,14.0,1.0
102,0.5,0.3,0.4,0.6,0.6,1.0,0.4,0.3,1.0,0.2,0.6,0.5,0.2,0.5,0.4,-0.3,-0.0,-0.1,0.1,0.8,0.2,0.3,0.4,0.6,0.2,0.8,0.5,-0.5,-0.6,-0.4,-0.6,-0.9,0.2,0.4,0.1,9.0,17.0,2.0
257,0.4,0.5,-0.1,-0.3,-0.4,0.3,-0.0,0.3,-0.2,0.2,0.4,0.5,-0.3,0.1,-0.1,0.1,-0.4,0.2,-0.2,0.2,0.7,0.4,0.8,0.8,0.7,0.3,1.0,-0.6,-0.7,-0.6,-0.5,-0.6,0.1,0.1,0.2,11.0,20.0,0.0
118,-0.0,0.4,-0.3,-0.1,-0.1,0.0,0.1,0.4,0.1,-0.0,0.1,0.3,-0.7,-0.1,0.1,-0.8,-0.7,-0.5,-0.5,0.3,0.4,0.3,0.6,-0.2,0.2,0.2,0.6,0.1,0.2,-0.0,0.1,0.2,0.1,0.1,-0.4,6.0,15.0,1.0
67,1.0,0.7,-2.0,0.6,0.6,0.3,1.0,0.6,0.6,1.2,0.9,1.1,0.1,0.2,0.2,0.7,-0.1,0.3,-0.2,0.1,0.9,0.7,0.5,1.5,1.0,0.4,0.9,0.4,0.1,0.0,0.2,0.1,0.0,-0.0,0.3,11.0,21.0,1.0
89,-1.6,-1.2,-0.2,-0.8,-1.0,-1.6,-1.8,-1.5,-1.1,-1.3,-1.4,-1.7,-0.5,-1.3,0.1,-0.8,-0.7,-1.2,-0.9,-1.0,-1.0,-1.5,-1.2,-2.2,-1.9,-1.5,-1.1,0.7,1.1,1.0,1.4,0.9,0.4,0.6,-0.9,7.0,18.0,2.0
230,-0.2,-0.4,-0.5,-0.2,-0.4,-0.3,0.6,-0.5,-0.6,0.6,0.1,-0.0,-0.8,-1.0,-0.0,-0.6,-0.4,-1.0,-0.5,0.6,-0.0,-0.8,-0.9,-1.0,-0.8,-0.3,-0.2,1.4,1.1,1.4,1.2,0.9,0.2,0.4,-0.4,5.0,12.0,0.0
0,0.5,0.4,0.1,-0.5,-0.5,-0.6,0.3,0.9,-0.6,0.9,0.5,0.3,0.3,0.6,-0.6,0.6,0.7,1.3,-0.1,-0.5,1.0,0.6,1.1,1.2,0.7,0.8,1.0,0.0,0.3,-0.1,0.1,0.1,0.0,-0.2,0.6,7.0,16.0,1.0
259,-1.8,-1.7,-0.5,-1.1,-1.4,-0.8,0.0,-1.9,-1.3,-2.0,-1.7,-2.6,-0.7,-1.1,0.7,-1.5,-0.7,-1.3,0.4,-0.6,-1.2,-2.2,-2.0,-2.2,-1.6,-1.6,-1.8,2.4,2.7,2.6,2.4,2.8,0.4,0.8,-0.1,7.0,17.0,2.0
260,0.5,0.7,0.6,-0.9,-0.4,-0.2,0.1,0.9,-1.9,0.8,0.6,0.5,0.5,-0.1,-1.3,0.8,-0.5,0.6,-0.3,-1.7,0.3,1.5,0.9,0.8,1.0,0.6,0.7,-0.3,-0.1,0.4,0.4,0.0,-0.0,-0.1,-0.9,3.0,10.0,1.0
170,0.4,0.4,0.1,-0.5,-0.4,-0.0,0.6,0.5,-0.4,0.5,0.5,0.4,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.5,1.0,1.0,0.7,0.4,0.6,0.8,0.7,0.2,0.1,0.1,0.1,0.3,0.0,-0.1,-0.1,9.0,15.0,0.0
189,0.1,0.1,0.5,0.2,0.1,0.1,0.1,0.2,-0.1,0.2,0.3,0.1,0.5,-0.2,-0.1,0.2,0.3,0.3,-0.7,-0.4,0.1,-0.1,-0.0,0.3,0.4,0.1,-0.3,0.1,-0.0,-0.0,0.1,0.1,0.0,0.1,-0.2,6.0,10.0,1.0
216,-1.0,-0.6,0.4,0.2,0.2,-0.7,-0.4,-1.3,-0.2,-1.0,-1.0,-0.8,-0.3,-0.5,0.2,-0.4,-0.4,-0.8,0.2,-1.1,-0.3,-0.8,-0.8,-1.2,-0.6,-0.8,-1.3,1.6,1.8,1.9,2.2,1.8,0.0,0.2,-0.5,8.0,14.0,1.0
